index	sentence	postag	word_index	word	prediction	softmax pred
2	Hij toverde een lach op haar gezicht.	VERB	1 	 toverde 	 1 	 [0.2505574 0.3996428]
4	Hij toverde een lach op haar gezicht.	NOUN	3 	 lach 	 0 	 [0.49906448 0.0037212 ]
6	Hij toverde een lach op haar gezicht.	NOUN	6 	 gezicht. 	 0 	 [0.49857178 0.00566442]
8	Zij eet haar buik rond.	VERB	1 	 eet 	 0 	 [0.49703148 0.01166632]
10	Zij eet haar buik rond.	NOUN	3 	 buik 	 0 	 [0.4904694  0.03606031]
12	Laten we hierbij stilstaan.	VERB	0 	 Laten 	 0 	 [0.49814805 0.00732621]
15	Laten we hierbij stilstaan.	VERB	3 	 stilstaan. 	 0 	 [0.41602388 0.22336204]
17	Je hoeft je niet groot te houden.	VERB	1 	 hoeft 	 0 	 [0.4982522  0.00691852]
21	Je hoeft je niet groot te houden.	VERB	6 	 houden. 	 1 	 [0.01014138 0.49742553]
23	Wat is jouw kamer een zwijnenstal !	VERB	1 	 is 	 0 	 [0.49787498 0.008393  ]
25	Wat is jouw kamer een zwijnenstal !	NOUN	3 	 kamer 	 0 	 [0.49144378 0.03255374]
27	Wat is jouw kamer een zwijnenstal !	NOUN	5 	 zwijnenstal 	 0 	 [0.46648636 0.11161142]
29	Ik schrik me een hoedje.	VERB	1 	 schrik 	 0 	 [0.48123443 0.06746604]
32	Ik schrik me een hoedje.	NOUN	4 	 hoedje. 	 0 	 [4.9994147e-01 2.3388995e-04]
34	ik zie beren op de weg.	VERB	1 	 zie 	 0 	 [0.49568334 0.0168306 ]
35	ik zie beren op de weg.	NOUN	2 	 beren 	 0 	 [0.49916562 0.00332095]
37	ik zie beren op de weg.	NOUN	5 	 weg. 	 0 	 [0.49673226 0.01281939]
38	Bloeden als een rund.	VERB	0 	 Bloeden 	 0 	 [0.4997524  0.00098908]
40	Bloeden als een rund.	NOUN	3 	 rund. 	 0 	 [0.49291947 0.02716809]
41	Wikken en wegen.	VERB	0 	 Wikken 	 0 	 [0.4968449 0.0123858]
42	Wikken en wegen.	VERB	2 	 wegen. 	 1 	 [0.05868408 0.48391286]
43	Met hand en tand verzetten.	NOUN	1 	 hand 	 1 	 [0.15373509 0.4500469 ]
44	Met hand en tand verzetten.	NOUN	3 	 tand 	 0 	 [0.43208095 0.19301848]
46	Het geld groeit me niet op de rug.	NOUN	1 	 geld 	 0 	 [0.4972544  0.01080458]
47	Het geld groeit me niet op de rug.	VERB	2 	 groeit 	 1 	 [0.01202929 0.49693736]
51	Het geld groeit me niet op de rug.	NOUN	7 	 rug. 	 1 	 [0.00754169 0.49809304]
52	In kaart brengen.	NOUN	1 	 kaart 	 1 	 [0.02669024 0.49304914]
53	In kaart brengen.	VERB	2 	 brengen. 	 1 	 [0.00428285 0.49892235]
55	Op iemand rekenen.	VERB	2 	 rekenen. 	 1 	 [0.1876862  0.43469244]
57	De kogel is door de kerk.	NOUN	1 	 kogel 	 0 	 [0.39908907 0.2514185 ]
58	De kogel is door de kerk.	VERB	2 	 is 	 0 	 [0.4947043  0.02053057]
60	De kogel is door de kerk.	NOUN	5 	 kerk. 	 0 	 [0.4902157  0.03696694]
61	Eieren voor je geld kiezen.	NOUN	0 	 Eieren 	 0 	 [4.9993718e-01 2.5117359e-04]
63	Eieren voor je geld kiezen.	NOUN	3 	 geld 	 0 	 [0.4935015  0.02501846]
64	Eieren voor je geld kiezen.	VERB	4 	 kiezen. 	 0 	 [0.47286937 0.09332997]
65	Steen en been klagen.	NOUN	0 	 Steen 	 0 	 [0.4932174  0.02606959]
66	Steen en been klagen.	NOUN	2 	 been 	 1 	 [0.02763508 0.49279246]
67	Steen en been klagen.	VERB	3 	 klagen. 	 1 	 [0.03297737 0.49132663]
68	Geld over de balk gooien.	NOUN	0 	 Geld 	 0 	 [0.4598237  0.12949048]
70	Geld over de balk gooien.	NOUN	3 	 balk 	 1 	 [0.00413887 0.49895886]
71	Geld over de balk gooien.	VERB	4 	 gooien. 	 1 	 [0.00050215 0.49987438]
74	Het over een andere boeg gooien.	NOUN	4 	 boeg 	 1 	 [0.0045996  0.49884212]
75	Het over een andere boeg gooien.	VERB	5 	 gooien. 	 1 	 [0.00402354 0.498988  ]
76	Zonder blikken of blozen.	VERB	1 	 blikken 	 0 	 [0.47214925 0.09545234]
77	Zonder blikken of blozen.	VERB	3 	 blozen. 	 0 	 [0.49752206 0.00976645]
81	Zo doof als een kwartel.	NOUN	4 	 kwartel. 	 0 	 [0.4992249  0.00308589]
82	Bont en blauw.	NOUN	0 	 Bont 	 0 	 [0.49410695 0.02276708]
84	Met man en macht.	NOUN	1 	 man 	 0 	 [0.49480054 0.02016868]
85	Met man en macht.	NOUN	3 	 macht. 	 0 	 [0.47095641 0.09893405]
86	In zee gaan met iemand.	NOUN	1 	 zee 	 0 	 [0.49750045 0.00985053]
87	In zee gaan met iemand.	VERB	2 	 gaan 	 0 	 [0.3935163  0.25989035]
90	Een oogje in het zeil houden.	NOUN	1 	 oogje 	 1 	 [0.00714744 0.4981938 ]
92	Een oogje in het zeil houden.	NOUN	4 	 zeil 	 1 	 [0.03450174 0.49090382]
93	Een oogje in het zeil houden.	VERB	5 	 houden. 	 1 	 [0.00618019 0.4984405 ]
94	Geld moet rollen.	NOUN	0 	 Geld 	 0 	 [0.49753174 0.00972909]
95	Geld moet rollen.	VERB	1 	 moet 	 0 	 [0.49424413 0.02225495]
96	Geld moet rollen.	VERB	2 	 rollen. 	 1 	 [0.00348624 0.49912387]
97	Kant noch wal raken.	NOUN	0 	 Kant 	 1 	 [0.19951934 0.4288164 ]
